title,artist,year,source,lyrics
Type Shit,"Future, Metro Boomin, Travis Scott, and Playboi Carti",2024,human,"Yeah, yeah, Pluto
I don't hang with rats, that's some new type shit
Get a nigga whacked on the news, type shit
Sippin' drank and Activis on some Screw, type shit
Just a sad ho runnin' through the crew, type shit

I got a bad bitch at home, voodoo type shit

Take down Meg Thee Stallion's by the group, type shit



That's some thick shit, I just thought you knew, type shit

I just tricked off, I don't just usually do this type shit

Pockets racked up, all blue, type shit

Bunch of rich niggas, hoes get confused, type shit

Atlanta nigga, I live like Tina Turner, type shit

On camera, knockin' jaws loose, type shit

I cancеled her, kick her out thе stu', type shit

A silent hitter, I just keep it cool with you bitches

A solid nigga, countin' dog food, type shit

Movin' through the city with your boo, type shit

She's ready to suck me up like soup, type shit

You goin' against the guys, and you gon' lose, type shit

Pray to God I ain't knock you out your shoes, type shit (Type shit)



Pop it, pop it, right up out the blue, type shit

Put the Double O in a mood

Serotonin, that's a cool technique

Oxycontin, mix it with blues (Alright)

East Atlanta feelin' like a zoo, type mix (Open up)

Shawty started strippin', takin' shrooms

Eatin' all the Percs, on some food, type shit (Open up)

Shawty make it work, 9-to-5 type shit (Open up)

Eatin' all the Perkies, on some food, type shit (Open up)

Eatin' all the Perkies, on some food, type shit (Going up)

All the homies crushin' on some fool, type— (Going up)

Floodin' out the spot, it's like a pool, type mix (Add it up)

All the homies crushin' on some fool, type shit (Going up)

All the homies crushin' on some fool, type— (Open up)

Eatin' all the Perkies, on some food, type shit

Feelin' so high, I'm on the moon, type shit



Kick the slow flow, jitsu, type shit

Relock my dreadlocks, I'm on bool, type shit

Cook a nigga up like food, type shit

Posted up with my dogs, Scooby Doo, type shit



She grippin' all on my balls, I gotta move, type shit

Diamonds, they cover my flaws, I got that brand new, type shit

Hundred round drum, make it bust, lookin' like that new, type shit

All of my jeans are saggin', I think I'm moving, type shit

Put the ho down with the gang, now she think she my major, type shit

Shawty thought she was she the one, I will forever have a boss bitch

The gang say rollin', count up, it's familiar, type shit

Eighty one thou' for the teeth, I still ain't smiling for this bitch

This ho think she better than me? She on that IG model shit

Shawty said I'm a superhero, so how the fuck I'ma hide-up shit?

Bitch give me dome in the back, she on her bobblehead, type shit

All I want is ass and titties, I ain't got no type shit

Sippin' on drank, Pluto, hey

Sippin' my drank, Metro

Said that he my hero, type shit

Might put some dollars in my glasses, woah, woah, on my Mike shit

What the fuck y'all talking about bodies for? Y'all just type shit (Pluto)



I don't hang with rats, that's some new type shit

Get a nigga whacked on the news, type shit

Sippin' drank and Activis on some screw, type shit

Just a sad ho runnin' through the crew, type shit

I got a bad bitch at home, voodoo type shit

Take down Meg Thee Stallion's by the group, type shit



Tags all over my shirt, uh, rockstar-type shit

Molly all in my drink, uh, rockstar-type shit

'Bout to take a ho to Turks, she a monster, type shit

She don't don't speak no English, money talk, type shit

She fuck me, ran her mouth 'cause I'm a boss, type shit"
Gata Only,FloyyMenor and Cris MJ,2024,human,"Shorty, ponte pa' mí, ah-ah
Ah-ah-ah-ah
Mami, te siento lejo', dime dónde estás (Ah-ah)
Te quiero chingar, te voy a raptar (Ah-ah)
Déjate llevar y apaga el celular

Que si estás conmigo no te va a pasar na'

Solo déjate llevar

'Tate atenta a la fuga

Si yo quiero contigo y tú quiere' conmigo (Oh)

Dime si se da (Brr)



Ba-Ba-Baby, dale, ponte pa' mí, follow me

Tú ere', like, for me y yo 'toy pa' ti

Gata, tú está' only, mándame tu ubi

Mueve los cachete' al ritmo del TikTok

Conmigo esa gata se еscapó (Oh-oh)

Y en su casa nadie lo notó

Que conmigo la baby еsta noche la pasó cabrón

Ga-Ga-Gata, pon el celu en modo avión

Tú mi loca y yo tu locotrón

Tú te pone' pa' mí y yo por ti me tiro to'a la misión



Mami, te siento lejo', dime dónde estás (Ah-ah)

Te quiero chingar, te voy a raptar (Ah-ah)

Déjate llevar y apaga el celular

Que si estás conmigo no te va a pasar na'

Solo déjate llevar

'Tate atenta a la fuga

Si yo quiero contigo y tú quiere' conmigo (Oh)

Dime si se da



A-A-Así que trépate, actívate

Acicálate, que te quiero ver

Te paso a recoger, te hago mi mujer

Te hago mi mujer, te hago mi mujer

Esta noche la pasamo' bien

Conmigo no te quieren ver (Ah-ah)

Dime qué e' lo que quiere' hacer (Ah-ah)

Gata, yo te voy a romper

Esta noche la pasamo' bien

Conmigo no te quieren ver (Ah-ah)

Dime qué e' lo que quiere' hacer

(Gata, yo te voy a romper)



Ah-ah-ah-ah-ah-ah

Ah-ah-ah-ah-ah-ah-ah

After, vamono' pa'l after, brr

Ey, ey, ya tú sabe' quiénes somo'

FloyyMenor

Y en los controle' BigCvyu, dame lu', pu-pu-pu

Pu-pu-pu, brr

Ah-ah-ah, ah-ah-ah

Ah-ah-ah, ah-ah-ah"
Hot to Go!,Chappell Roan,2024,human,"Five, six
Five, six, seven, eight
I could be the one, or your new addiction
It's all in my head but I want non-fiction
I don't want the world, but I'll take this city

Who can blame a girl? Call me hot, not pretty



Baby, do you like this beat?

I made it so you'd dance with me

It's like a hundred ninety-nine degrees

When you're doing it with me, doing it with me



H-O-T-T-O-G-O

Snap and clap and touch your toes

Raise your hands, now body roll

Dance it out, you're hot to go

H-O-T-T-O-G-O

Snap and clap and touch your toes

Raise your hands, now body roll

H-O-T-T-O-G-O



H-O-T-T-O-G-O

You can take me hot to go

H-O-T-T-O-G-O

You can take me hot to go



Well, I woke up alone staring at my cеiling

I try not to care but it hurts my feelings

You don't have to stare, comе here, get with it

No one's touched me there in a damn hot minute



And baby, don't you like this beat?

I made it so you'd sleep with me

It's like a hundred ninety-nine degrees

When you're doing it with me, doing it with me



H-O-T-T-O-G-O

Snap and clap and touch your toes

Raise your hands, now body roll

Dance it out, you're hot to go

H-O-T-T-O-G-O

Snap and clap and touch your toes

Raise your hands, now body roll

H-O-T-T-O-G-O



H-O-T-T-O-G-O

You can take me hot to go

H-O-T-T-O-G-O

You can take me hot to go



What's it take to get your number?

What's it take to bring you home?

Hurry up, it's time for supper

Order up, I'm hot to go

What's it take to get your number?

Hurry up, it's getting cold

Hurry up, it's time for supper

Order up, I'm hot to go



H-O-T-T-O-G-O

You can take me hot to go (Oh, yeah)

H-O-T-T-O-G-O

You can take me hot to go (Hot to go)

H-O-T-T-O-G-O

You can take me hot to go (Oh, yeah)

H-O-T-T-O-G-O

You can take me hot to go



Whew, it's hot in here

Is anyone else hot?

Woo, you coming home with me?

Okay, it's hot

I'll call the cab"
All I Want for Christmas Is You,Mariah Carey,2024,human,"I don't want a lot for Christmas
There's just one thing I need 
I don't care about presents 
Underneath the Christmas tree 
I just want you for my own 
More than you could ever know 

Make my wish come true... 

All I want for Christmas 

Is you... 



I don't want a lot for Christmas 

There is just one thing I need 

I don't care about presents 

Underneath the Christmas tree 

I don't need to hang my stocking 

There upon the fireplace 

Santa Claus won't make me happy 

With a toy on Christmas day 

I just want you for my own 

More than you could ever know 

Make my wish come true 

All I want for Christmas is you... 

You baby 



I won't ask for much this Christmas 

I won't even wish for snow 

I'm just gonna keep on waiting 

Underneath the mistletoe 

I won't make a list and send it 

To the North Pole for Saint Nick 

I won't even stay awake to 

Hear those magic reindeer click 

'Cause I just want you here tonight 

Holding on to me so tight 

What more can I do 

Baby all I want for Christmas is you 

You... 



All the lights are shining 

So brightly everywhere 

And the sound of children's 

Laughter fills the air 

And everyone is singing 

I hear those sleigh bells ringing 

Santa won't you bring me the one I really need - 

won't you please bring my baby to me... 



Oh I don't want a lot for Christmas 

This is all I'm asking for 

I just want to see my baby 

Standing right outside my door 

Oh I just want him for my own 

More than you could ever know 

Make my wish come true 

Baby all I want for Christmas is 

You... 



All I want for Christmas is you baby... all I want for Chrismas is you baby...."
Get It Sexyy,Sexyy Red,2024,human,"Tay Keith, fuck these niggas up
Bow, bow, bow, bow
Bow, bow, bow, bow
Yeah, yeah, yeah, yeah, yeah
It's Sexyy

Slim thick, caramel skin

5'5, this bitch a 10

Hair done, bills paid

Catch me slidin' in a Benz

I ain't looking for no man

Ain't recruiting no new friends

Louie bag filled wit' bandz

Go on Sexyy, do your dance



Get it, Sexyy

Get it, Sexyy

Get it, Sexyy

Get it, Sexyy



Boy, you know this ass super fat

I ain't lying doe

Fuck me good, I'm throwing this shit back

I'm his favorite ho

He wanna kiss me all over my tats

I might let him doe

I'm so fucking Sexyy, they attack

All these niggas on go

Feeling myself 'cause I know know that I'm that

Yeah, bitch, I'm cold

Riding thru St. Louis in a Scat

And I can't go slow

Bust that middle part and I got it black

I'm a big, fine ho

Walking through the club, looking like a snack

But you knew that doe



Get it, Sexyy

Get it, Sexyy

Get it, Sexyy

Get it, Sexyy



Big Sexyy blood, love da hoes

Bounce that ass, touch dem toes

Booty shorts, coochie swoll

Thong all up my bootyhole

Niggas cheaters, they gon' go

Trust a nigga, that's a ""No""

He can eat my coochie, doe

Awesome Jawsome got me throwed

Little miss Sexyy, walking down the street

I don't know what to do 'cause the niggas after me

I'm so fuckin' sexyy, yeah, my skin is glistening

Diamonds hittin', hard niggas wanna join my team



Get it, Sexyy

Get it, Sexyy

Get it, Sexyy

Get it, Sexyy



Slim thick, caramel skin

5'5, this bitch a 10

Hair done, bills paid

Catch me slidin' in a Benz

I ain't looking for no man

Ain't recruiting no new friends

Louie bag filled wit' bandz

Go on Sexyy, do your dance



Get it, Sexyy

Get it, Sexyy

Get it, Sexyy

Get it, Sexyy"
Made for Me,Muni Long,2024,human,"Mm
Oh
The smell of your perfume
I thought I was immune
Lookin' around this room

Can't help but see the traces of you

This moment is surreal

I can't put into words how I feel



Twin

Where have you been?



Nobody knows me like you do (Nobody)

Nobody gon' love me quite like you (Nobody, yeah)

Can't even deny it, every time I try it

One look in my eyes, you know I'm lyin', lyin'

Body to body, skin to skin (I'm never gon' love like this)

I'm never gon' love like this again (Again, yeah)

You were made for me (Just for me)

Said you were made for me (Only for me, yeah, yeah)

Think you were made for me

Oh yeah, you were made for me



It ain't every day

That I get in my feelings this way

I knew it was rare

'Cause before you, I never did care

Don't know what I would do

If I had to go on without you



Twin, mm

Mm, where have you been?



Nobody knows me like you do (Nobody)

Nobody gon' love me quite like you (Nobody, yeah)

Can't even deny it, every time I try it

One look in my eyes, you know I'm lyin', lyin'

Body to body, skin to skin (I'm never gon' love like this)

I'm never gon' love like this again (Again, yeah)

You were made for me (Just for me)

Said you were made for me (Only for me, yeah, yeah)

Think you were made for me

Oh yeah, you were made for me



Made for me

Made for me

Made for me

Just for me, mm"
Vampire,Olivia Rodrigo,2024,human,"Hate to give the satisfaction asking how you're doing now
How's the castle built off people you pretend to care about?
Just what you wanted
Look at you, cool guy, you got it
I see the parties and the diamonds sometimes when I close my eyes
Six months of torture you sold as some forbidden paradise

I loved you truly

You gotta laugh at the stupidity



'Cause I've made some real big mistakes

But you make the worst one look fine

I should've known it was strange

You only come out at night

I used to think I was smart

But you made me look so naïve

The way you sold me for parts

As you sunk your teeth into me, oh

Bloodsucker, famefucker

Bleedin' me dry like a goddamn vampire



And every girl I ever talked to told me you were bad, bad news

You called them crazy, God, I hate the way I called 'em crazy too

You're so convincing

How do you lie without flinching?

(How do you lie? How do you lie? How do you lie?)

Oh, what a mesmerizing, paralyzing, fucked up little thrill

Can't figure out just how you do it and God knows I never will

Went for me and not her

'Cause girls your age know better



I've made some real big mistakes

But you make the worst one look fine

I should've known it was strange

You only come out at night

I used to think I was smart

But you made me look so naïve

The way you sold me for parts

As you sunk your teeth into me, oh

Bloodsucker, famefucker

Bleedin' me dry like a goddamn vampire



(Ah)

You said it was true love, but wouldn't that be hard?

You can't love anyone 'cause that could mean you had a heart

I tried to help you out, now I know that I can't

'Cause how you think's the kind of thing I'll never understand



I've made some real big mistakes

But you make the worst one look fine

I should've known it was strange

You only come out at night

I used to think I was smart

But you made me look so naïve

The way you sold me for parts

As you sunk your teeth into me, oh

Bloodsucker, famefucker

Bleedin' me dry like a goddamn vampire"
Whatever She Wants,Bryson Tiller,2024,human,"Nah, we just gettin' started
It's Slum Tiller, Volume 2, nigga
My boy Tylian snapped on this shit
We got this motherfucker goin' crazy and we don't even know-
Can't see yo' at, peace, nigga, you know what time it is
Uh



I'ma take her bougie ass to Rodeo and then let her pick up whatever she want

CC, Gucci, hit Bottega, whatever she want

She piss me off, somehow she still get whatever she want

Talking 'bout her nails, I'm finna nail her ass at home

Hit it in the shower, made her tell me where she want (Huh)

Like I'm singin' Mase, I made her tell me what she want (Huh, huh)

(Huh-huh, huh-huh-huh, wow)



She on a power trip again

I know pussy power got me buyin' shit again

Friends ain't jackin' me, you must be lyin' to your friends

They know I'm a beast, I wake the giants up again (Huh-huh, huh-huh-huh)

Shinin' once again

Ran it up, I told lil' mama, ""Slide in my DMs"" (Huh, uh)

Now I'm right back in, oh

Locked in

Shawty got that dress on so the block is hot again

Thick so when I hit it sound like Flocka adlibs (Baow-baow, baow-baow-baow)

Got her ass again

Then she got to trippin' over nothin' yet again

Got a nigga feelin' like a sucker yet again

Close off my emotion then I rush to let her in

Hurry up and let her in (Huh)



I'ma take her bougie ass to Rodeo and then let her pick up whatever she want

CC, Gucci, hit Bottega, whatever she want

She piss me off, somehow she still get whatever she want

Talking 'bout her nails, I'm finna nail her ass at home

Hit it in the shower, made her tell me where she want (Want)

Like I'm singin' Mase, I made her tell me what she want (Huh-huh, huh-huh, huh-huh)



(Oh-oh, oh-oh, oh-oh, oh, I)

I'm already knowin' (I)

She spoiled as a motherfucker

Whatever



Huh

Spoil her ass again

Take her to the dealership, the Porsche, it got a twin, huh

Patek got a beam, huh, hold it to the lens

Put the ice I bought you on and show it to your friends, huh

Shop until we lean, huh

Bae, let's make it even (Ayy)

She don't hold a damn thing, she spicy like Tajin (Hot, hot, hot, hot, hot)

Ha, yeah, she spicy like Tajin, ayy, look, bae, don't make no sense



I'm finna take her bougie ass to Rodeo and then let her pick up whatever she want

CC, Gucci, hit Bottega, whatever she want

She piss me off, somehow she still get whatever she want (Uh-huh)

Talking 'bout her nails, I'm finna nail her ass at home

Hit it in the shower, made her tell me where she want (Huh)

Like I'm singin' Mase, I made her tell me what she want (Huh-huh, huh-huh, huh-huh)"
Rockin' Around the Christmas Tree,Brenda Lee,2024,human,"Rockin' around the Christmas tree, at the Christmas party hop
Mistletoe hung where you can see, every couple tries to stop
Rockin' around the Christmas tree, let the Christmas spirit ring
Later we'll have some pumpkin pie and we'll do some caroling

You will get a sentimental feelin' when you hear

Voices singin' let's be jolly

Deck the halls with boughs of holly



Rockin' around the Christmas tree, have a happy holiday

Everyone dancing merrily in the new, old-fashioned way



You will get a sentimental feelin' when you hear

Voices singin' let's be jolly

Deck the halls with boughs of holly



Rockin' around the Christmas tree, have a happy holiday

Everyone dancing merrily in the new, old-fashioned way"
Pretty Little Poison,Warren Zeiders,2024,human,"Every night round about this time
It's like she knows I'm lonely
Rolls up when the wine is gone
Like a record on repeat
Leaning on old memories
And talking 'bout what used to be

She'll probably be the death of me

But damn if it ain't sweet



She's my pretty little poison

My heartache in the night

With a kiss on her lips just like cyanide

Yeah she came with a warnin'

But I didn't mind

I'll go out on that high every time

She's my pretty little poison

My pretty little poison



Shadows dancin' down the hall

Whispers that she wants me

Try my best not to fall

When she falls into me

We all need some kind of fix

For me she's the one I pick

Nothin' else will do the trick

She's all I need



She's my pretty little poison

My heartache in the night

With a kiss on her lips just like cyanide

Yeah she came with a warnin'

But I didn't mind

I'll go out on that high every time

She's my pretty little poison

My pretty little poison



For some I guess it's alcohol

I don't want none at all

I just want you

No I just want you



My pretty little poison

My heartache in the night

With a kiss on her lips just like cyanide

Yeah she came with a warnin'

But I didn't mind

I'll go out on that high every time

She's my pretty little poison

My pretty little poison

She's my pretty little poison"
First Person Shooter,Drake featuring J. Cole,2024,human,"(Pew, pew-pew)
First person shooter mode, we turnin' your song to a funeral
To them niggas that say they wan' off us, you better be talkin' 'bout workin' in cubicles
Yeah, them boys had it locked, but I knew the code
Lot of niggas debatin' my numeral
Not the three, not the two, I'm the U-N-O

Yeah

Numero U-N-O

Me and Drizzy, this shit like the Super Bowl

Man, this shit damn near big as the—



Big as the what? Big as the what? Big as the what?

Big as the Super Bowl

But the difference is it's just two guys playin' shit that they did in the studio

Niggas usually send they verses back to me and they be terrible, just like a two-year old

I love a dinner with some fine women

When they start debatin' about who the G.O.A.T

I'm like ""Go 'head, say it then, who the G.O.A.T.?

""Who the G.O.A.T.? Who the G.O.A.T.? Who the G.O.A.T.?""

""Who you bitches really rootin' for?""

Like a kid that act bad from January to November, nigga, it's just you and Cole

Big as the what? Big as the what? Big as the what?(Ayy)

Big as the Super Bowl



Niggas so thirsty to put me in beef

Dissectin' my words and start lookin' too deep

I look at the tweets and start suckin' my teeth

I'm lettin' it rock 'cause I love the mystique

I still wanna get me a song with YB

Can't trust everything that you saw on IG

Just know if I diss you, I'd make sure you know that I hit you like I'm on your caller ID

I'm namin' the album The Fall Off, it's pretty ironic 'cause it ain't no fall off for me

Still in this bitch gettin' bigger, they waitin' on the kid to come drop like a father to be

Love when they argue the hardest MC

Is it K-Dot? Is it Aubrey? Or me?

We the big three like we started a league, but right now, I feel like Muhammed Ali

Huh, yeah, yeah, huh-huh, yeah, Muhammed Ali

The one that they call when they shit ain't connectin' no more, feel like I got a job in IT

Rhymin' with me is the biggest mistake

The Spider-Man meme is me lookin' at Drake

It's like we recruited your homies to beat demon deacons, we got 'em attending a wake

Hate how the gang gotta wait for the boss, man, this shit like a prison escape

Everybody steppers, well fuck it, then everybody breakfast and I'm 'bout to clear up my plate (Huh, huh, huh)

When I show up, it's motion picture blockbuster

The G.O.A.T. with the golden pin, the top toucher

The spot rusher, sprayed his whole shit up, the crop duster

Not Russia, but apply pressure

To your cranium, Cole's automatic when aimin' 'em

With The Boy in the status, a stadium

Nigga

Part II



Ayy, I'm 'bout to—, I'm bout to—

I'm 'bout to—, yeah

Yeah



I'm 'bout to click out on this shit

I'm 'bout to click, woah

I'm 'bout to click out on this shit

I'm 'bout to click, woah

I'm down to click down you hoes and make a crime scene

I click the trigger on the stick like a high beam

Man, I was Bentley wheel whippin' when I was nineteen

She call my number, leave her hangin', she got dry-cleaned

She got a Android, her messages is lime green

I search one name, and end up seein' twenty tings

Nadine, Christine, Justine, Kathleen, Charlene, Pauline, Claudine

Man, I pack 'em in this phone like some sardines

And they send me naked pictures, it's the small things

You niggas is still takin' pictures on a dog stream

My youngers richer than you rappers and they all stream

I really hate that you been sellin' them some false dreams

Man, if your pub was up for sale, I buy the whole thing

Will they ever give me flowers? Well, of course not

They don't wanna have that talk, 'cause it's a sore spot

They know The Boy the one they gotta boycott

I told Jim and Jammer I use a GRAMMY as a door stop

Girl gave me some head because I need it

And if I fuck with you, then after I might eat it, wait

Niggas talkin' 'bout when this gon' be repeated

What the fuck bro? I'm one away from Michael

Nigga, beat it, nigga, beat it, what?



Beat it, what? Beat it, what? Beat it, what? Beat it, what?

Beat it, what? Beat it, what? Beat it, what? Beat it, what?

Beat it, what? Beat it, what? Beat it, what? Beat it, what?

Don't even pay me back on none them favors, I don't need it"
Die with a Smile,Lady Gaga and Bruno Mars,2024,human,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye
And I don't know what it all means
But since I survived, I realized



Wherever you go, that's where I'll follow

Nobody's promised tomorrow

So I'ma love you every night like it's the last night

Like it's the last night



If the world was ending

I'd wanna be next to you

If the party was over

And our time on Earth was through

I'd wanna hold you just for a while

And die with a smile

If the world was ending

I'd wanna be next to you



(Ooh, ooh)



Ooh, lost, lost in the words that we scream

I don't even wanna do this anymore

'Cause you already know what you mean to me

And our love's the only one worth fighting for



Wherever you go, that's where I'll follow

Nobody's promised tomorrow

So I'ma love you every night like it's the last night

Like it's the last night



If the world was ending

I'd wanna be next to you

If the party was over

And our time on Earth was through

I'd wanna hold you just for a while

And die with a smile

If the world was ending

I'd wanna be next to you



Right next to you

Next to you

Right next to you

Oh-oh



If the world was ending

I'd wanna be next to you

If the party was over

And our time on Earth was through

I'd wanna hold you just for a while

And die with a smile

If the world was ending

I'd wanna be next to you

If the world was ending

I'd wanna be next to you



(Ooh, ooh)

I'd wanna be next to you"
I Like the Way You Kiss Me,Artemas,2024,human,"I like the way you kiss me
I like the way you—, uh
I like the way you kiss me, I can tell you miss me
I can tell it hits, hits, hits, hits
Not tryna be romantic, I'll hit it from the back

Just so you don't get attached ('Tached, 'tached, 'tached)

I like the way you kiss me, I can tell you miss me

I can tell it hits, hits, hits, hits

Not tryna be romantic, I'll hit it from the back

Just so you don't get attached ('Tached, 'tached, 'tached)



You bite my lip, just for the taste

You're on your knees, I'm on the case

You take the heat, and with such grace

You say we'rе done, but here you stay

Said you'rе scared, I'll let you down (I'll let you down)

Stick around and you'll find out (And you'll find out)

But don't you wanna make me proud? (To make me proud)

'Cause I'm so proud, baby, I'm so proud of you



I like the way you kiss me, I can tell you miss me

I can tell it hits, hits, hits, hits

Not tryna be romantic, I'll hit it from the back

Just so you don't get attached ('Tached, 'tached, 'tached)

I like the way you kiss me, I can tell you miss me

I can tell it hits, hits, hits, hits

Not tryna be romantic, I'll hit it from the back

Just so you don't get attached ('Tached, 'tached, 'tached)



Do I stress you out? Can I help you out?

Does it turn you on when I turn you 'round?

Can we make a scene? (Scene) Can we make it loud? (Loud)

'Cause I'm so proud, baby, I'm so proud of you



(So proud of you)

(Mm, so proud of you)



I like the way you kiss me, I can tell you miss me

I can tell it hits, hits, hits, hits

Not tryna be romantic, I'll hit it from the back

Just so you don't get attached ('Tached, 'tached, 'tached)

I like the way you kiss me, I can tell you miss me

I can tell it hits, hits, hits, hits

Not tryna be romantic, I'll hit it from the back

Just so you don't get attached ('Tached, 'tached, 'tached)



I like the way you kiss me

I like the way you—, uh"
Need a Favor,Jelly Roll,2024,human,"I only talk to God when I need a favor
And I only pray when I ain't got a prayer
So, who the hell am I, who the hell am I
To expect a Savior o-o-oh
If I only talk to God when I need a favor
God I need a favor!



I know Amazing Grace, but I ain't been livin' them words

Swear I spend most Sundays, drunk off my ass, than I have in church

Hard cover King James only been savin' dust on the nightstand

And I don't know what to say by the time I fold my hands



I only talk to God when I need a favor

And I only pray when I ain't got a prayer

So, who the hell am I, who the hell am I

To expect a Savior o-o-oh

If I only talk to God when I need a favor

God I need a favor

Amen. Amen.



Yeah, I owe you more than one, and beggars can't be choosers

But I'll pay for all I've done, just please don't let me lose her



I only talk to God when I need a favor

And I only pray when I ain't got a prayer

So, who the hell am I, who the hell am I

To expect a Savior o-o-oh

If I only talk to God when I need a favor

God I need a favor

Amen. Amen.

Amen. Amen.



Hangin' in there, just barely

Throwin' up prayers, like Hail Mary's

If he's still there, Lord spare me

Oh my God, oh my God - Hail Mary



Hangin' in there, just barely

Throwin' up prayers, like Hail Mary's

If he's still there, Lord spare me

Oh my God, oh my God - Hail Mary



I only talk to God when I need a favor

And I only pray when I ain't got a prayer

So tell me, who the hell am I to expect a Savior

When I only talk to God when I need a favor

God I need a favor. Amen.

God I need a favor. Amen."
Save Me,Jelly Roll featuring Lainey Wilson,2024,human,"Somebody save me
Me from myself
I've spent so long
Living in hell
They say my lifestyle is bad for my health
It's the only thing that seems to help



All of this drinking and smoking is hopeless but feel like its all that I need

Something inside of me is broken I hold onto anything that sets me free



I'm a lost cause

Baby, don't waste your time on me

I'm so damaged beyond repair

Life has shattered my hopes and my dreams

I'm a lost cause

Baby, don't waste your time on me

I'm so damaged beyond repair

Life has shattered my hopes and my dreams



What if the night sky

Was missing the moon

And there was no shooting stars to use wishing on you

And all of my sorrows

I just wash them down

It's the only peace I have ever found



All of this drinking and smoking is hopeless but feel like its all that I need

Something inside of me is broken I hold onto anything that sets me free



I'm a lost cause

Baby, don't waste your time on me

I'm so damaged beyond repair

Life has shattered my hopes and my dreams

I'm a lost cause

Baby, don't waste your time on me

I'm so damaged beyond repair

Life has shattered my hopes and my dreams"
